step,id,hours,free,work,money,type,happiness
1,0,16,8,8,1023.4228109589098,red,703.0572155734794
1,1,16,8,8,9.0,red,0.0
1,2,16,8,8,4.835643224558338,red,8.0
1,3,16,8,8,279.7821635736923,red,20.379418028076604
1,4,16,8,8,1016.4771668122714,red,1024.7273917629839
1,5,16,8,8,8.0,red,11.984657991639155
1,6,16,8,8,777.8598688167731,red,9.0
1,7,16,8,8,1.0,red,1.7021580652695776
1,8,16,8,8,1006.5354377530816,red,1006.5354377530816
1,9,16,8,8,8.0,red,10.205177932097008
1,10,16,8,8,2.0710608309098393,red,1.055589257354663
1,11,16,8,8,922.1352139778007,red,3.1979158063153674
1,12,16,8,8,0.0,red,2.6796070913486347
1,13,16,8,8,0.0,red,8.549254748178397
1,14,16,8,8,35.55543150830669,red,43.55543150830669
1,15,16,8,8,9.0,red,8.620808886035983
