price,transaction,node1,node2,step
51.0,False,13,44,0
51.0,False,13,45,0
51.0,False,13,47,0
51.0,False,13,14,0
51.0,False,13,20,0
51.0,False,13,26,0
51.0,False,13,35,0
51.0,False,13,46,0
51.0,False,13,136,0
51.0,False,13,171,0
51.0,False,14,6,0
51.0,False,14,8,0
51.0,False,14,10,0
51.0,False,14,11,0
51.0,False,14,0,0
51.0,False,14,3,0
51.0,False,14,5,0
51.0,False,14,7,0
51.0,False,14,13,0
51.0,False,14,16,0
51.0,False,14,19,0
51.0,False,14,27,0
51.0,False,14,36,0
51.0,False,14,47,0
51.0,False,14,80,0
51.0,False,14,152,0
51.0,False,14,156,0
51.0,False,14,17,0
51.0,False,14,20,0
51.0,False,14,22,0
51.0,False,14,26,0
51.0,False,14,30,0
51.0,False,14,39,0
51.0,False,14,46,0
51.0,False,14,49,0
51.0,False,15,0,0
51.0,False,15,3,0
51.0,False,15,6,0
51.0,False,15,7,0
51.0,False,15,8,0
51.0,False,15,9,0
51.0,False,15,11,0
51.0,False,15,12,0
51.0,False,15,13,0
51.0,False,15,4,0
51.0,False,15,5,0
51.0,False,15,16,0
51.0,False,15,18,0
51.0,False,15,19,0
51.0,False,15,21,0
51.0,False,15,22,0
51.0,False,15,28,0
51.0,False,15,29,0
51.0,False,15,32,0
51.0,False,15,35,0
51.0,False,15,38,0
51.0,False,15,39,0
51.0,False,15,42,0
51.0,False,15,93,0
51.0,False,15,17,0
51.0,False,15,27,0
51.0,False,15,30,0
51.0,False,15,33,0
51.0,False,15,49,0
8.0,False,16,0,0
51.0,False,16,4,0
51.0,False,16,8,0
8.0,False,16,9,0
8.0,False,16,10,0
51.0,False,16,11,0
51.0,False,16,12,0
51.0,False,16,14,0
51.0,False,16,15,0
8.0,False,16,3,0
51.0,False,16,6,0
51.0,False,16,7,0
51.0,False,16,17,0
51.0,False,16,18,0
8.0,False,16,20,0
51.0,False,16,24,0
51.0,False,16,28,0
51.0,False,16,29,0
8.0,False,16,32,0
8.0,False,16,33,0
51.0,False,16,39,0
51.0,False,16,41,0
8.0,False,16,44,0
8.5,False,16,46,0
51.0,False,16,47,0
51.0,False,16,66,0
51.0,False,16,26,0
51.0,False,16,37,0
51.0,False,16,42,0
51.0,False,16,193,0
51.0,False,17,3,0
51.0,False,17,4,0
51.0,False,17,5,0
51.0,False,17,16,0
51.0,False,17,1,0
51.0,False,17,10,0
51.0,False,17,12,0
51.0,False,17,14,0
51.0,False,17,15,0
51.0,False,17,18,0
51.0,False,17,30,0
51.0,False,17,33,0
51.0,False,17,34,0
51.0,False,17,35,0
51.0,False,17,37,0
51.0,False,17,44,0
51.0,False,17,85,0
51.0,False,17,21,0
51.0,False,17,22,0
51.0,False,17,23,0
51.0,False,17,45,0
51.0,False,17,77,0
51.0,False,17,177,0
51.0,False,18,0,0
51.0,False,18,2,0
51.0,False,18,11,0
51.0,False,18,12,0
51.0,False,18,15,0
51.0,False,18,16,0
51.0,False,18,17,0
51.0,False,18,6,0
51.0,False,18,10,0
51.0,False,18,21,0
51.0,False,18,26,0
51.0,False,18,33,0
51.0,False,18,43,0
51.0,False,18,45,0
51.0,False,18,46,0
51.0,False,18,80,0
51.0,False,18,136,0
51.0,False,18,176,0
51.0,False,18,23,0
51.0,False,18,24,0
51.0,False,18,25,0
51.0,False,18,32,0
51.0,False,18,36,0
51.0,False,18,39,0
51.0,False,18,47,0
51.0,False,18,48,0
51.0,False,18,160,0
8.0,False,19,3,0
8.5,False,19,5,0
51.0,False,19,6,0
51.0,False,19,7,0
8.0,False,19,9,0
51.0,False,19,11,0
51.0,False,19,14,0
51.0,False,19,15,0
51.0,False,19,1,0
8.0,False,19,2,0
51.0,False,19,4,0
51.0,False,19,8,0
51.0,False,19,12,0
8.0,False,19,20,0
8.0,False,19,22,0
51.0,False,19,26,0
51.0,False,19,29,0
51.0,False,19,30,0
8.0,False,19,32,0
51.0,False,19,39,0
51.0,False,19,47,0
51.0,False,19,49,0
51.0,False,19,160,0
38.0,False,19,23,0
51.0,False,19,28,0
49.5,False,19,70,0
8.0,False,19,185,0
51.0,False,20,1,0
8.5,False,20,5,0
8.0,False,20,16,0
8.0,False,20,19,0
51.0,False,20,6,0
51.0,False,20,8,0
8.0,False,20,9,0
51.0,False,20,13,0
51.0,False,20,14,0
51.0,False,20,26,0
51.0,False,20,28,0
51.0,False,20,29,0
8.0,False,20,33,0
51.0,False,20,34,0
51.0,False,20,38,0
51.0,False,20,41,0
8.0,False,20,44,0
51.0,False,20,47,0
51.0,False,20,49,0
9.0,False,20,21,0
8.0,False,20,22,0
9.0,False,20,27,0
51.0,False,20,30,0
8.0,False,20,35,0
51.0,False,20,37,0
51.0,False,20,43,0
8.5,False,20,46,0
8.0,False,20,124,0
9.0,False,21,0,0
9.0,False,21,2,0
9.0,False,21,5,0
51.0,False,21,11,0
51.0,False,21,15,0
51.0,False,21,18,0
51.0,False,21,6,0
51.0,False,21,8,0
51.0,False,21,17,0
9.0,False,21,20,0
51.0,False,21,25,0
51.0,False,21,26,0
51.0,False,21,28,0
51.0,False,21,31,0
9.0,False,21,33,0
51.0,False,21,36,0
51.0,False,21,38,0
51.0,False,21,45,0
51.0,False,21,47,0
9.0,False,21,143,0
51.0,False,21,145,0
51.0,False,21,24,0
9.0,False,21,32,0
51.0,False,21,34,0
9.0,False,21,35,0
51.0,False,21,37,0
51.0,False,21,39,0
51.0,False,21,42,0
51.0,False,21,43,0
51.0,False,21,48,0
51.0,False,21,115,0
9.0,False,21,124,0
9.0,False,21,189,0
51.0,False,22,4,0
51.0,False,22,13,0
51.0,False,22,15,0
8.0,False,22,19,0
1.0,False,22,3,0
51.0,False,22,14,0
51.0,False,22,17,0
8.0,False,22,20,0
51.0,False,22,28,0
51.0,False,22,29,0
51.0,False,22,31,0
51.0,False,22,41,0
51.0,False,22,43,0
8.0,False,22,44,0
8.5,False,22,46,0
51.0,False,22,47,0
51.0,False,22,49,0
51.0,False,22,132,0
51.0,False,22,25,0
51.0,False,22,30,0
1.0,False,22,32,0
1.0,False,22,35,0
51.0,False,22,37,0
51.0,False,22,39,0
17.5,False,22,90,0
51.0,False,22,97,0
9.0,False,22,118,0
9.0,False,22,174,0
38.0,False,23,10,0
51.0,False,23,13,0
51.0,False,23,4,0
38.0,False,23,5,0
51.0,False,23,17,0
51.0,False,23,18,0
38.0,False,23,19,0
51.0,False,23,24,0
51.0,False,23,25,0
38.0,False,23,27,0
38.0,False,23,33,0
51.0,False,23,39,0
51.0,False,23,40,0
51.0,False,23,43,0
51.0,False,23,48,0
51.0,False,23,49,0
51.0,False,23,29,0
51.0,False,23,30,0
51.0,False,23,31,0
51.0,False,23,36,0
51.0,False,23,37,0
51.0,False,23,41,0
51.0,False,23,42,0
51.0,False,23,45,0
51.0,False,23,47,0
51.0,False,23,91,0
51.0,False,24,0,0
51.0,False,24,3,0
51.0,False,24,6,0
51.0,False,24,13,0
51.0,False,24,16,0
51.0,False,24,23,0
51.0,False,24,10,0
51.0,False,24,11,0
51.0,False,24,18,0
51.0,False,24,21,0
51.0,False,24,25,0
51.0,False,24,26,0
51.0,False,24,33,0
51.0,False,24,36,0
51.0,False,24,42,0
51.0,False,24,43,0
51.0,False,24,46,0
51.0,False,24,49,0
51.0,False,24,28,0
51.0,False,24,30,0
51.0,False,24,35,0
51.0,False,24,37,0
51.0,False,24,39,0
51.0,False,24,47,0
51.0,False,24,48,0
51.0,False,24,81,0
51.0,False,24,149,0
51.0,False,25,8,0
51.0,False,25,21,0
51.0,False,25,23,0
51.0,False,25,24,0
51.0,False,25,0,0
51.0,False,25,7,0
51.0,False,25,12,0
51.0,False,25,18,0
51.0,False,25,22,0
51.0,False,25,27,0
51.0,False,25,28,0
51.0,False,25,32,0
51.0,False,25,33,0
51.0,False,25,34,0
51.0,False,25,38,0
51.0,False,25,39,0
51.0,False,25,41,0
51.0,False,25,42,0
51.0,False,25,44,0
51.0,False,25,83,0
51.0,False,25,141,0
51.0,False,25,26,0
51.0,False,25,31,0
51.0,False,25,37,0
51.0,False,25,46,0
51.0,False,25,47,0
51.0,False,26,1,0
51.0,False,26,2,0
51.0,False,26,10,0
51.0,False,26,12,0
51.0,False,26,18,0
51.0,False,26,19,0
51.0,False,26,20,0
51.0,False,26,21,0
51.0,False,26,24,0
51.0,False,26,9,0
51.0,False,26,11,0
51.0,False,26,13,0
51.0,False,26,14,0
51.0,False,26,16,0
51.0,False,26,25,0
51.0,False,26,27,0
51.0,False,26,28,0
51.0,False,26,31,0
51.0,False,26,32,0
51.0,False,26,33,0
51.0,False,26,39,0
51.0,False,26,40,0
51.0,False,26,43,0
51.0,False,26,44,0
51.0,False,26,46,0
51.0,False,26,49,0
51.0,False,26,132,0
51.0,False,26,41,0
51.0,False,26,47,0
51.0,False,26,48,0
51.0,False,26,72,0
51.0,False,26,121,0
51.0,False,27,7,0
51.0,False,27,12,0
51.0,False,27,14,0
38.0,False,27,23,0
51.0,False,27,25,0
51.0,False,27,26,0
9.0,False,27,0,0
9.0,False,27,2,0
51.0,False,27,4,0
9.0,False,27,9,0
51.0,False,27,15,0
9.0,False,27,20,0
51.0,False,27,28,0
51.0,False,27,31,0
9.0,False,27,33,0
51.0,False,27,39,0
51.0,False,27,42,0
51.0,False,27,43,0
9.0,False,27,44,0
51.0,False,27,45,0
51.0,False,27,48,0
9.0,False,27,183,0
9.0,False,27,32,0
51.0,False,27,38,0
51.0,False,27,49,0
9.0,False,27,77,0
51.0,False,27,79,0
51.0,False,28,6,0
51.0,False,28,7,0
51.0,False,28,9,0
51.0,False,28,12,0
51.0,False,28,15,0
51.0,False,28,16,0
51.0,False,28,20,0
51.0,False,28,21,0
51.0,False,28,22,0
51.0,False,28,25,0
51.0,False,28,26,0
51.0,False,28,27,0
51.0,False,28,0,0
51.0,False,28,19,0
51.0,False,28,24,0
51.0,False,28,31,0
51.0,False,28,32,0
51.0,False,28,33,0
51.0,False,28,35,0
51.0,False,28,36,0
51.0,False,28,37,0
51.0,False,28,38,0
51.0,False,28,39,0
51.0,False,28,44,0
51.0,False,28,45,0
51.0,False,28,49,0
51.0,False,28,60,0
51.0,False,28,196,0
51.0,False,28,29,0
51.0,False,28,34,0
51.0,False,28,42,0
51.0,False,28,43,0
51.0,False,28,46,0
51.0,False,28,68,0
51.0,False,29,4,0
51.0,False,29,10,0
51.0,False,29,13,0
51.0,False,29,15,0
51.0,False,29,16,0
51.0,False,29,19,0
51.0,False,29,20,0
51.0,False,29,22,0
51.0,False,29,0,0
51.0,False,29,3,0
51.0,False,29,7,0
51.0,False,29,9,0
51.0,False,29,23,0
51.0,False,29,28,0
51.0,False,29,33,0
51.0,False,29,34,0
51.0,False,29,36,0
51.0,False,29,38,0
51.0,False,29,40,0
51.0,False,29,42,0
51.0,False,29,48,0
51.0,False,29,49,0
51.0,False,29,37,0
51.0,False,29,41,0
51.0,False,29,43,0
51.0,False,30,10,0
51.0,False,30,13,0
51.0,False,30,17,0
51.0,False,30,19,0
51.0,False,30,14,0
51.0,False,30,15,0
51.0,False,30,20,0
51.0,False,30,22,0
51.0,False,30,23,0
51.0,False,30,24,0
51.0,False,30,34,0
51.0,False,30,35,0
51.0,False,30,36,0
51.0,False,30,42,0
51.0,False,30,43,0
51.0,False,30,45,0
51.0,False,30,47,0
51.0,False,30,158,0
51.0,False,30,167,0
51.0,False,30,37,0
51.0,False,30,38,0
51.0,False,30,39,0
51.0,False,30,40,0
51.0,False,30,41,0
51.0,False,30,44,0
51.0,False,30,48,0
51.0,False,30,49,0
51.0,False,30,71,0
51.0,False,30,135,0
51.0,False,30,198,0
51.0,False,31,5,0
51.0,False,31,8,0
51.0,False,31,13,0
51.0,False,31,21,0
51.0,False,31,22,0
51.0,False,31,26,0
51.0,False,31,27,0
51.0,False,31,28,0
51.0,False,31,4,0
51.0,False,31,23,0
51.0,False,31,25,0
51.0,False,31,32,0
51.0,False,31,33,0
51.0,False,31,34,0
51.0,False,31,38,0
51.0,False,31,43,0
51.0,False,31,48,0
51.0,False,31,49,0
51.0,False,31,142,0
51.0,False,31,36,0
51.0,False,31,39,0
51.0,False,31,40,0
51.0,False,31,41,0
51.0,False,31,44,0
51.0,False,31,45,0
51.0,False,31,170,0
1.0,False,32,0,0
51.0,False,32,1,0
51.0,False,32,8,0
1.0,False,32,10,0
51.0,False,32,11,0
51.0,False,32,13,0
51.0,False,32,15,0
8.0,False,32,16,0
8.0,False,32,19,0
51.0,False,32,25,0
51.0,False,32,26,0
51.0,False,32,28,0
51.0,False,32,31,0
3.5,False,32,2,0
51.0,False,32,4,0
51.0,False,32,7,0
51.0,False,32,18,0
9.0,False,32,21,0
1.0,False,32,22,0
9.0,False,32,27,0
51.0,False,32,34,0
51.0,False,32,36,0
51.0,False,32,41,0
51.0,False,32,43,0
8.0,False,32,44,0
51.0,False,32,49,0
1.0,False,32,33,0
51.0,False,32,38,0
51.0,False,32,39,0
51.0,False,32,40,0
51.0,False,32,42,0
51.0,False,32,45,0
51.0,False,32,48,0
22.5,False,32,59,0
51.0,False,32,69,0
1.0,False,33,0,0
51.0,False,33,4,0
51.0,False,33,7,0
6.5,False,33,9,0
8.0,False,33,16,0
51.0,False,33,17,0
51.0,False,33,18,0
8.0,False,33,20,0
9.0,False,33,21,0
38.0,False,33,23,0
51.0,False,33,24,0
51.0,False,33,25,0
51.0,False,33,26,0
9.0,False,33,27,0
51.0,False,33,28,0
51.0,False,33,29,0
51.0,False,33,31,0
51.0,False,33,8,0
51.0,False,33,15,0
1.0,False,33,32,0
51.0,False,33,37,0
51.0,False,33,39,0
51.0,False,33,45,0
51.0,False,33,49,0
45.5,False,33,65,0
6.5,False,33,85,0
25.0,False,33,130,0
51.0,False,33,154,0
1.0,False,33,171,0
1.0,False,33,35,0
51.0,False,33,36,0
51.0,False,33,40,0
8.0,False,33,44,0
51.0,False,34,1,0
51.0,False,34,4,0
51.0,False,34,8,0
51.0,False,34,9,0
51.0,False,34,17,0
51.0,False,34,20,0
51.0,False,34,25,0
51.0,False,34,29,0
51.0,False,34,30,0
51.0,False,34,31,0
51.0,False,34,32,0
51.0,False,34,11,0
51.0,False,34,12,0
51.0,False,34,21,0
51.0,False,34,28,0
51.0,False,34,35,0
51.0,False,34,36,0
51.0,False,34,40,0
51.0,False,34,42,0
51.0,False,34,44,0
51.0,False,34,45,0
51.0,False,34,57,0
51.0,False,34,37,0
51.0,False,34,41,0
51.0,False,34,43,0
51.0,False,34,156,0
1.0,False,35,0,0
3.5,False,35,2,0
8.5,False,35,5,0
51.0,False,35,7,0
51.0,False,35,11,0
51.0,False,35,15,0
51.0,False,35,17,0
51.0,False,35,28,0
51.0,False,35,30,0
51.0,False,35,34,0
51.0,False,35,1,0
6.5,False,35,9,0
51.0,False,35,13,0
8.0,False,35,20,0
9.0,False,35,21,0
1.0,False,35,22,0
51.0,False,35,24,0
1.0,False,35,33,0
51.0,False,35,39,0
51.0,False,35,45,0
51.0,False,35,49,0
51.0,False,35,75,0
51.0,False,35,100,0
8.0,False,35,44,0
8.5,False,35,46,0
11.0,False,35,105,0
1.0,False,35,185,0
51.0,False,35,197,0
51.0,False,36,2,0
51.0,False,36,8,0
51.0,False,36,10,0
51.0,False,36,14,0
51.0,False,36,21,0
51.0,False,36,24,0
51.0,False,36,28,0
51.0,False,36,29,0
51.0,False,36,30,0
51.0,False,36,32,0
51.0,False,36,34,0
51.0,False,36,4,0
51.0,False,36,5,0
51.0,False,36,6,0
51.0,False,36,11,0
51.0,False,36,18,0
51.0,False,36,23,0
51.0,False,36,31,0
51.0,False,36,33,0
51.0,False,36,37,0
51.0,False,36,38,0
51.0,False,36,39,0
51.0,False,36,42,0
51.0,False,36,44,0
51.0,False,36,45,0
51.0,False,36,46,0
51.0,False,36,48,0
51.0,False,36,43,0
51.0,False,36,190,0
51.0,False,37,2,0
51.0,False,37,6,0
51.0,False,37,11,0
51.0,False,37,17,0
51.0,False,37,28,0
51.0,False,37,33,0
51.0,False,37,36,0
51.0,False,37,7,0
51.0,False,37,10,0
51.0,False,37,16,0
51.0,False,37,20,0
51.0,False,37,21,0
51.0,False,37,22,0
51.0,False,37,23,0
51.0,False,37,24,0
51.0,False,37,25,0
51.0,False,37,29,0
51.0,False,37,30,0
51.0,False,37,34,0
51.0,False,37,38,0
51.0,False,37,41,0
51.0,False,37,45,0
51.0,False,37,48,0
51.0,False,37,49,0
51.0,False,37,144,0
51.0,False,37,43,0
51.0,False,37,47,0
51.0,False,38,5,0
51.0,False,38,9,0
51.0,False,38,11,0
51.0,False,38,15,0
51.0,False,38,20,0
51.0,False,38,21,0
51.0,False,38,25,0
51.0,False,38,28,0
51.0,False,38,29,0
